Name,Date,Open,High,Low,Close
SPX.GI,2019-12-09 09:35,3141.86,3143.41,3140.91,3143.41
SPX.GI,2019-12-09 09:40,3143.54,3146.64,3142.95,3146.39
SPX.GI,2019-12-09 09:45,3146.34,3148.04,3146.32,3147.96
SPX.GI,2019-12-09 09:50,3147.92,3148.38,3147.23,3147.34
SPX.GI,2019-12-09 09:55,3147.36,3148.15,3146.96,3147.8
SPX.GI,2019-12-09 10:00,3147.79,3148.25,3146.58,3147.2
SPX.GI,2019-12-09 10:05,3147.26,3147.88,3147.1,3147.47
SPX.GI,2019-12-09 10:10,3147.49,3148.17,3147.17,3147.69
SPX.GI,2019-12-09 10:15,3147.75,3148.77,3147.66,3148.49
SPX.GI,2019-12-09 10:20,3148.43,3148.87,3147.68,3147.77
SPX.GI,2019-12-09 10:25,3147.78,3148.01,3147.03,3147.19
SPX.GI,2019-12-09 10:30,3147.18,3147.51,3146.82,3147.03
SPX.GI,2019-12-09 10:35,3147.1,3147.93,3146.88,3147.42
SPX.GI,2019-12-09 10:40,3147.43,3148.45,3147.18,3147.33
SPX.GI,2019-12-09 10:45,3147.32,3147.32,3146.14,3146.67
SPX.GI,2019-12-09 10:50,3146.7,3147.39,3146.66,3146.86
SPX.GI,2019-12-09 10:55,3146.84,3147.5,3146.78,3147.15
SPX.GI,2019-12-09 11:00,3147.11,3147.67,3146.67,3146.97
SPX.GI,2019-12-09 11:05,3147.04,3147.2,3145.82,3145.83
SPX.GI,2019-12-09 11:10,3145.84,3145.93,3145.32,3145.39
SPX.GI,2019-12-09 11:15,3145.4,3146.03,3145.28,3145.49
SPX.GI,2019-12-09 11:20,3145.5,3145.66,3144.6,3144.83
SPX.GI,2019-12-09 11:25,3144.84,3144.84,3143.75,3144.14
SPX.GI,2019-12-09 11:30,3144.13,3144.99,3144.13,3144.81
SPX.GI,2019-12-09 11:35,3144.82,3145.07,3144.43,3144.83
SPX.GI,2019-12-09 11:40,3144.82,3145.14,3143.98,3144.11
SPX.GI,2019-12-09 11:45,3144.12,3144.29,3143.42,3143.95
SPX.GI,2019-12-09 11:50,3143.96,3144.26,3143.56,3144.11
SPX.GI,2019-12-09 11:55,3144.12,3144.17,3142.8,3143.33
SPX.GI,2019-12-09 12:00,3143.36,3143.78,3142.78,3143.35
SPX.GI,2019-12-09 12:05,3143.34,3144.18,3143.33,3143.73
SPX.GI,2019-12-09 12:10,3143.72,3143.95,3143.06,3143.47
SPX.GI,2019-12-09 12:15,3143.48,3144.05,3143.26,3144.03
SPX.GI,2019-12-09 12:20,3144.02,3144.16,3142.89,3143.06
SPX.GI,2019-12-09 12:25,3143.05,3143.05,3141.77,3142.26
SPX.GI,2019-12-09 12:30,3142.27,3142.62,3141.97,3142.3
SPX.GI,2019-12-09 12:35,3142.23,3142.57,3141.75,3142.46
SPX.GI,2019-12-09 12:40,3142.47,3143.1,3142.29,3142.84
SPX.GI,2019-12-09 12:45,3142.85,3142.85,3142.07,3142.07
SPX.GI,2019-12-09 12:50,3142.05,3142.09,3141.07,3141.13
SPX.GI,2019-12-09 12:55,3141.12,3141.33,3140.64,3141.33
SPX.GI,2019-12-09 13:00,3141.32,3142.41,3141.32,3142.18
SPX.GI,2019-12-09 13:05,3142.19,3142.84,3141.81,3142.72
SPX.GI,2019-12-09 13:10,3142.64,3142.65,3141.9,3141.98
SPX.GI,2019-12-09 13:15,3141.96,3141.96,3141.41,3141.61
SPX.GI,2019-12-09 13:20,3141.6,3141.61,3140.86,3140.9
SPX.GI,2019-12-09 13:25,3140.89,3141.59,3140.62,3141.46
SPX.GI,2019-12-09 13:30,3141.43,3141.43,3140.56,3140.84
SPX.GI,2019-12-09 13:35,3140.83,3141.14,3140.67,3141.04
SPX.GI,2019-12-09 13:40,3141.03,3141.99,3141.03,3141.7
SPX.GI,2019-12-09 13:45,3141.69,3142.39,3141.69,3141.81
SPX.GI,2019-12-09 13:50,3141.8,3142.43,3141.49,3142.34
SPX.GI,2019-12-09 13:55,3142.32,3142.33,3141.53,3142.13
SPX.GI,2019-12-09 14:00,3142.12,3142.13,3141.11,3141.13
SPX.GI,2019-12-09 14:05,3141.14,3141.14,3139.31,3139.32
SPX.GI,2019-12-09 14:10,3139.29,3139.3,3137.38,3137.5
SPX.GI,2019-12-09 14:15,3137.56,3138.06,3136.64,3138.05
SPX.GI,2019-12-09 14:20,3138.03,3138.21,3137.56,3138.21
SPX.GI,2019-12-09 14:25,3138.22,3138.84,3138.16,3138.83
SPX.GI,2019-12-09 14:30,3138.84,3138.91,3138.48,3138.55
SPX.GI,2019-12-09 14:35,3138.56,3139.73,3138.28,3139.49
SPX.GI,2019-12-09 14:40,3139.48,3139.98,3139.46,3139.7
SPX.GI,2019-12-09 14:45,3139.69,3139.88,3139.23,3139.88
SPX.GI,2019-12-09 14:50,3139.92,3140.33,3139.56,3139.95
SPX.GI,2019-12-09 14:55,3139.96,3140.54,3139.96,3140.17
SPX.GI,2019-12-09 15:00,3140.16,3140.68,3139.98,3139.99
SPX.GI,2019-12-09 15:05,3140,3140.61,3139.9,3139.9
SPX.GI,2019-12-09 15:10,3139.88,3140.4,3139.74,3140.22
SPX.GI,2019-12-09 15:15,3140.23,3140.39,3139.23,3140.31
SPX.GI,2019-12-09 15:20,3140.32,3141.56,3140.22,3141.19
SPX.GI,2019-12-09 15:25,3141.2,3141.29,3140.77,3141.06
SPX.GI,2019-12-09 15:30,3141.05,3141.38,3140.58,3140.58
SPX.GI,2019-12-09 15:35,3140.55,3140.55,3138.97,3138.99
SPX.GI,2019-12-09 15:40,3138.98,3139.11,3137.7,3138.61
SPX.GI,2019-12-09 15:45,3138.6,3139.03,3138.32,3138.54
SPX.GI,2019-12-09 15:50,3138.55,3139.41,3137.82,3139.12
SPX.GI,2019-12-09 15:55,3139.11,3139.12,3137.6,3137.64
SPX.GI,2019-12-09 16:05,3137.61,3137.64,3135.46,3135.96
SPX.GI,2019-12-10 09:35,3135.36,3135.62,3131.75,3132.04
SPX.GI,2019-12-10 09:40,3132.06,3133.22,3126.09,3127.4
SPX.GI,2019-12-10 09:45,3127.38,3130.64,3127.13,3130.64
SPX.GI,2019-12-10 09:50,3130.71,3132.02,3130.71,3131.54
SPX.GI,2019-12-10 09:55,3131.56,3133.14,3130.98,3133.14
SPX.GI,2019-12-10 10:00,3133.13,3133.54,3130.98,3132.48
SPX.GI,2019-12-10 10:05,3132.49,3133.96,3131.75,3133.81
SPX.GI,2019-12-10 10:10,3133.82,3134.93,3133.2,3134.37
SPX.GI,2019-12-10 10:15,3134.4,3137.01,3134.4,3136.87
SPX.GI,2019-12-10 10:20,3136.86,3136.86,3136.1,3136.25
SPX.GI,2019-12-10 10:25,3136.3,3140.01,3136.3,3139.92
SPX.GI,2019-12-10 10:30,3139.9,3141.29,3139.49,3140.23
SPX.GI,2019-12-10 10:35,3140.24,3140.31,3138.75,3139
SPX.GI,2019-12-10 10:40,3139.03,3139.76,3138.72,3139.7
SPX.GI,2019-12-10 10:45,3139.74,3140.11,3138.41,3139.18
SPX.GI,2019-12-10 10:50,3139.19,3139.27,3137.37,3137.68
SPX.GI,2019-12-10 10:55,3137.67,3138.34,3137.1,3137.99
SPX.GI,2019-12-10 11:00,3138,3140.86,3137.93,3140.69
SPX.GI,2019-12-10 11:05,3140.67,3142.12,3133.73,3137.09
SPX.GI,2019-12-10 11:10,3137.07,3140.07,3136.91,3139.47
SPX.GI,2019-12-10 11:15,3139.4,3139.6,3136.47,3137.64
SPX.GI,2019-12-10 11:20,3137.6,3137.78,3136.29,3136.97
SPX.GI,2019-12-10 11:25,3136.99,3137.46,3136.32,3137.16
SPX.GI,2019-12-10 11:30,3137.17,3139.07,3137.08,3139.07
SPX.GI,2019-12-10 11:35,3139.06,3139.08,3137,3137.11
SPX.GI,2019-12-10 11:40,3137.1,3137.89,3136.76,3137.02
SPX.GI,2019-12-10 11:45,3137.01,3138.73,3136.92,3138.7
SPX.GI,2019-12-10 11:50,3138.85,3139.43,3137.93,3138.3
